Roll No,Name,lass,Address,Mobile No,
1,Amit Sharma,10-A,A-12 society xyz road anandnagar.,9xxxxxxx04,
2,Neha Verma,9-B,A-12 society xyz road anandnagar.,9xxxxxxx04,
3,Ravi Kumar,8-C,A-12 society xyz road anandnagar.,9xxxxxxx04,
4,Saila Singh,11-B,A-12 society xyz road anandnagar.,9xxxxxxx04,
5,Mukesh Varma,10-A,A-12 society xyz road anandnagar.,9xxxxxxx04,
6,Sheema Gaur,9-B,A-12 society xyz road anandnagar.,9xxxxxxx04,
7,Rajesh Khatree,8-C,A-12 society xyz road anandnagar.,9xxxxxxx04,
8,Prahlad Patel,11-B,A-12 society xyz road anandnagar.,9xxxxxxx04,
9,Anand Dave,10-A,A-12 society xyz road anandnagar.,9xxxxxxx04,
10,Neelam Kumari,9-B,A-12 society xyz road anandnagar.,9xxxxxxx04,
11,Pavan Dixit,8-C,A-12 society xyz road anandnagar.,9xxxxxxx04,
